company_id,name,ticker_symbol,industry,sector,market_cap_billions,headquarters,founded_year,ceo,employee_count,annual_revenue_billions
CO058,Quantum Computing,QCOM,Computing,Technology,89.4,Cambridge MA,2016,Lisa Davis,2800,3.7
CO059,Drone Technology,DRON,Unmanned Systems,Industrials,34.6,San Francisco CA,2014,David Wilson,4200,5.8
CO060,3D Printing Systems,TDPR,Manufacturing Tech,Industrials,28.9,Minneapolis MN,2011,Emily Anderson,3100,4.2
CO061,Augmented Reality,AUGR,AR/VR,Technology,67.3,Redmond WA,2017,Thomas Martinez,5600,8.9
CO062,Blockchain Solutions,BLCH,Cryptocurrency,Financial Services,45.2,San Francisco CA,2012,Amanda Taylor,2700,6.4
CO063,Autonomous Vehicles,AUVO,Transportation Tech,Technology,156.8,Palo Alto CA,2009,Christopher Garcia,7800,14.2
CO064,Robotics Industries,ROBO,Robotics,Industrials,92.7,Boston MA,2008,Jessica Johnson,6400,12.8
CO065,Nanotechnology Corp,NANO,Advanced Materials,Materials,23.4,Santa Barbara CA,2015,Matthew Chen,1900,2.9
CO066,Green Buildings,GRNB,Sustainable Construction,Real Estate,38.7,Portland OR,2010,Daniel White,4300,7.1
CO067,Electric Vehicles,ELEV,Automotive,Consumer Discretionary,687.3,Fremont CA,2003,Sarah Lee,70757,31.5
CO068,Battery Technology,BATT,Energy Storage,Technology,124.6,Reno NV,2011,Michael Rodriguez,8900,15.7
CO069,Satellite Communications,SATC,Communications,Communication Services,78.4,Arlington VA,2002,Jennifer Brown,5200,11.3
CO070,Genomics Research,GENR,Biotechnology,Healthcare,56.8,South San Francisco CA,2012,Robert Harris,4100,7.8
CO071,Immunotherapy Inc,IMMU,Biopharmaceuticals,Healthcare,89.3,Cambridge MA,2013,Lisa Thompson,6700,9.4
CO072,Digital Payments,DIGP,FinTech,Financial Services,167.4,San Francisco CA,2010,David Davis,12000,21.8
CO073,Cybersecurity Defense,CYBD,Security Software,Technology,143.8,Sunnyvale CA,2007,Emily Wilson,9800,18.3
CO074,Agricultural Biotech,AGBT,AgTech,Consumer Staples,34.2,St Louis MO,2006,Thomas Anderson,5200,6.9
CO075,Smart Home Tech,SMHT,IoT Devices,Technology,72.6,San Jose CA,2014,Amanda Martinez,6300,10.4
CO076,Clean Water Solutions,CLWS,Environmental,Utilities,28.9,Boulder CO,2012,Christopher Taylor,3400,5.2
CO077,Carbon Capture Tech,CARC,Environmental Tech,Industrials,42.1,Houston TX,2015,Jessica Garcia,2800,4.1
CO078,Vertical Farming,VTFM,Agriculture Tech,Consumer Staples,18.7,Newark NJ,2016,Matthew Johnson,1600,2.3
CO079,Ocean Energy Systems,OCES,Renewable Energy,Energy,31.4,San Diego CA,2013,Daniel Chen,2200,3.8
CO080,Biofuel Production,BIOF,Alternative Energy,Energy,23.6,Des Moines IA,2009,Sarah White,3100,4.7
CO081,Medical Imaging,MEDI,Healthcare Technology,Healthcare,98.7,Cleveland OH,1985,Michael Lee,11000,16.9
CO082,Telemedicine Services,TMED,Digital Health,Healthcare,67.4,New York NY,2015,Jennifer Rodriguez,4800,8.3
CO083,Mental Health Apps,MHAP,Health Tech,Healthcare,12.8,San Francisco CA,2017,Robert Brown,1200,1.4
CO084,Precision Agriculture,PRAG,AgTech,Consumer Staples,21.3,Lincoln NE,2014,Lisa Harris,2400,3.6
CO085,Smart Grid Solutions,SMGR,Energy Tech,Utilities,54.7,Austin TX,2011,David Thompson,4700,7.8
CO086,Nuclear Innovation,NUCL,Nuclear Energy,Energy,87.3,Charlotte NC,2008,Emily Davis,6200,12.4
CO087,Hydrogen Fuel Cells,HYDR,Alternative Energy,Energy,45.8,Los Angeles CA,2013,Thomas Wilson,3800,6.2
CO088,Wind Power Systems,WIND,Renewable Energy,Energy,92.4,Des Moines IA,2005,Amanda Anderson,8300,14.7
CO089,Geothermal Energy,GEOT,Renewable Energy,Energy,19.4,San Francisco CA,2014,Christopher Martinez,1800,2.9
CO090,Tidal Power Tech,TIDL,Marine Energy,Energy,14.6,Portland ME,2016,Jessica Taylor,1100,1.6
CO091,Advanced Composites,ADVC,Materials Science,Materials,38.2,Seattle WA,2010,Matthew Garcia,3600,6.4
CO092,Smart Textiles,SMTX,Wearable Tech,Consumer Discretionary,15.7,New York NY,2015,Daniel Johnson,1900,2.7
CO093,Food Tech Innovation,FTEC,Food Science,Consumer Staples,34.9,San Francisco CA,2013,Sarah Chen,3200,5.8
CO094,Plant-Based Foods,PLBT,Alternative Proteins,Consumer Staples,28.4,Los Angeles CA,2011,Michael White,4100,7.3
CO095,Microbiome Research,MICR,Biotechnology,Healthcare,21.7,Cambridge MA,2016,Jennifer Lee,1600,2.4
CO096,Personalized Medicine,PMED,Healthcare Tech,Healthcare,56.3,Boston MA,2014,Robert Rodriguez,4300,8.1
CO097,Neural Interfaces,NEUR,Neurotechnology,Healthcare,42.8,San Francisco CA,2017,Lisa Brown,2100,3.2
CO098,Longevity Research,LONG,Biotechnology,Healthcare,67.9,Mountain View CA,2013,David Harris,3900,6.7
CO099,Space Mining Corp,SPCM,Space Resources,Industrials,23.1,Seattle WA,2018,Emily Thompson,900,0.8
CO100,Asteroid Mining,ASTM,Space Industry,Industrials,18.6,Los Angeles CA,2019,Thomas Davis,650,0.4
CO101,Lunar Industries,LUNR,Space Commerce,Industrials,34.2,Houston TX,2017,Amanda Wilson,1800,2.1
CO102,Mars Development,MARS,Space Exploration,Industrials,89.7,Hawthorne CA,2016,Christopher Anderson,3400,4.9

